timestamp,tweet_text,all_hashtags
,"- a mix between your grandma and a millennial 
- a slightly nicer book loving Paris Geller 
- Philippians 4:13📚",
2019-10-29 15:29:39,@xonikkee I’ll keep an eye out of the government 😉💜,[]
2019-10-29 15:28:47,@noriathereader @morgan_m Ahhh thank you thank youuuu💜💜,[]
2019-10-29 15:28:32,@chanelletime Ahhh I love you too!! 💜💜✨,[]
2019-10-29 03:43:10,@pistachiobooks When I say I scream I SCREAMED 💜😂,[]
2019-10-29 01:32:42,@_julialeigh @morgan_m Idk genetics?!?! 😂,[]
2019-10-29 01:29:24,@samreadingg https://t.co/YTsH3ocU5I,[]
2019-10-29 01:28:37,@megwithbooks @morgan_m Love youuuuu too!! 💜💜,[]
2019-10-29 01:28:21,@TheOfficial_JND @morgan_m Ahhh I love you too!!💜✨,[]
2019-10-29 01:27:40,@aphroditereadss https://t.co/XCJx61wXAP,[]
2019-10-29 01:27:11,@haleymtz1 https://t.co/7brJ3ppHVo,[]
2019-10-28 23:28:56,My @morgan_m conspiracy theory ... https://t.co/OmwTkwHgnG,[]
2019-10-28 16:36:12,@muggleglamour 🙌🏻 My queen Agatha 🙌🏻,[]
2019-10-28 01:48:38,@livreadsalatte Listen that’s valid,[]
2019-10-28 01:44:45,@Lofeyrac Awwwwwwwww thank you thank you!! https://t.co/fKmkstxyP9,[]
2019-10-28 01:42:36,@xcatherinereads Percy Jackson (any of them),[]
2019-10-28 01:41:59,@kerribookbelle THANK YOU KERRI!!! 💜💜,[]
2019-10-28 01:37:04,@rhiannonthropp https://t.co/QlmPivKS9I,[]
2019-10-28 00:03:52,Y’all ... I just finished a project that I’ve been working on for LITERALLY a year now!! Suffice to say I’m really… https://t.co/neDsKbEybZ,[]
2019-10-27 21:45:59,@courtthebun 😍😍😍,[]
2019-10-27 21:41:22,@_diaryofareader @ettubrody https://t.co/8EAV1h3SDm,[]
2019-10-27 18:22:43,These comments have officially made my day!! 💜✨ We love spreading musical obsession!! https://t.co/M9CGtlgdB3,[]
2019-10-27 18:13:13,@tjreadsthestars https://t.co/17oDMXmNqu,[]
2019-10-27 18:11:24,@aphroditereadss https://t.co/BfmN7ON5mj,[]
2019-10-27 18:10:14,@whittynovels LETS GOOOO!!,[]
2019-10-27 18:03:48,@megwithbooks Y’all both look so happy💜 it’s making my heart warm!!,[]
2019-10-27 17:58:11,@GobletOfFiction I’m screaming,[]
2019-10-26 19:41:50,Film professor: who wrote The Invention of Hugo Cabret? Me: *raises hand* https://t.co/FQrWRKrzSe,[]
2019-10-25 21:18:28,Who’s excited for Call Down The Hawk?? MEEEE!! https://t.co/Tbd9Ayf2pC,[]
2019-10-25 21:14:06,@elaines2fab4you https://t.co/5s0clbGx55,[]
2019-10-25 21:07:23,@xcatherinereads A legend,[]
2019-10-25 20:54:09,@elaines2fab4you You have already read Graceling right?? Maybe the wrath and the dawn!! Or if you wanna make me rea… https://t.co/7jN29qR93v,[]
2019-10-25 18:20:01,@mcgonagalI AHHHHH💜💜 https://t.co/ESGqRH9DK4,[]
2019-10-25 18:14:25,@cmarisbrown Have you ever seen me without this hat on? That’s weird,[]
2019-10-25 18:12:18,@mcgonagalI HAPPY BIRTHDAY LOVE!!!! 💜💜🎉,[]
2019-10-25 03:21:50,@greyreadsbooks https://t.co/nFVwx4cuZl,[]
2019-10-25 03:18:15,@pistachiobooks Yo I was listing to speak now today ... this is so valid,[]
2019-10-25 03:13:47,@chanelletime Ok queen!!👑,[]
2019-10-25 03:10:26,@megwithbooks Yessss!! This is such a classic jam!! 💜💜,[]
2019-10-24 20:55:53,@joceraptor Book People is the best!! 💜💜,[]
2019-10-24 20:14:52,@AvgJoeReads @WitchAThon I’m so ready!! https://t.co/0UuN78OHHr,[]
2019-10-24 20:10:28,@alliewithbooks He looks like a Frederick,[]
2019-10-24 19:31:59,I realized my life can fall into the classic cliché of “Hannah likes going on long walks in the park” and I’m okay with that 🌞,[]
2019-10-24 05:25:32,@aphroditereadss My body is ready,[]
2019-10-24 05:24:08,@readwithcindy CINDY ... this is accurate,[]
2019-10-24 05:23:17,@chanelletime YESSSSSS https://t.co/jYE3wwFg7d,[]
2019-10-24 05:15:22,@livs_library @gilmoreathon I’m in love with this picture😍,[]
2019-10-24 01:20:51,@xcatherinereads https://t.co/ex32GWlxle,[]
2019-10-24 01:15:17,@xcatherinereads It’s okay I still love you,[]
2019-10-24 01:09:29,@xcatherinereads CATHERINE!!!!!,[]
2019-10-24 01:08:21,@aphroditereadss She is beauty she is grace,[]
2019-10-24 01:07:58,@maureenkeavy Right?? It happens to me every time https://t.co/psBQl0Cj1U,[]
2019-10-24 01:04:36,@samreadingg SAMMMM,[]
2019-10-23 18:02:26,People mentioned: @SixReadathon @ettubrody @PageScreenTay @WildeBookGarden @maakbooks @linh_hermione @rhiannonthropp @readwithcindy,[]
2019-10-23 18:00:58,NEW VIDEO!! Dark Academia Discussion - The Secret History - If We Were Villains - Ninth House… https://t.co/McqTPMHTlw,[]
2019-10-23 05:18:30,@TheWordN3rd Ayyyy you know it!! I will always bring the facts!! 😂💜💜,[]
2019-10-23 05:16:47,@littlereadersco @PageScreenTay Absolutely😉😉,[]
2019-10-22 22:40:02,@ZeeElainasWords MOOD,[]
