timestamp,tweet_text,all_hashtags
2019-11-02 23:35:29,@jessicacwrites 👀  https://t.co/ggAuQBjaPl,[]
2019-11-02 22:55:02,@chasingpagez I always say I want to be the mr beast of booktube 😂 but poorer,[]
2019-11-02 22:47:13,Anyway drop your wl links but don’t feel bad if you don’t get one bc I love you all 💛💛,[]
2019-11-02 22:42:08,Kinda depressed might fuck around and secretly buy books off of yalls amazon wishlists tonight,[]
2019-11-02 22:06:02,@peyton_reads YUP,[]
2019-11-02 20:38:44,@megwithbooks Oh my god lmao,[]
2019-11-02 19:08:55,"When you finish filming, put all your books away, take off your makeup, change into sweats, then realize you forgot… https://t.co/whYJaiiFJK",[]
2019-11-02 19:06:44,@signal_SIGABRT @41Strange @nicklockwood Omg these are so cool,[]
2019-11-02 05:13:10,This video made me scream anyway goodnight https://t.co/Q35qVPcWOq,[]
2019-11-02 03:33:28,If Monday’s video flops like the last 4 did I’m selling my channel who wants to buy,[]
2019-11-02 02:29:10,@chanelletime Fire on the ice. The first 45% was non stop smut and idk about the rest because I dnfed it 😂,[]
2019-11-02 01:55:01,@peyton_reads https://t.co/xKTyxxLuOt,[]
2019-11-02 01:47:46,@myreadingisodd Lmao,[]
2019-11-02 01:47:38,@peyton_reads I had a happy accident and ordered two of each and sold my extra one for $200,[]
2019-11-02 01:36:26,@kerribookbelle @JakeDoesBooks That purple is going to be used so much I already know,[]
2019-11-02 01:34:00,@JakeDoesBooks I may have only gotten mini controversy only so I could do bi pride looks,[]
2019-11-01 23:49:52,Me laying in bed tonight knowing I secured both the conspiracy and mini controversy and won’t be paying a penny for… https://t.co/t6Xcxmg2uT,[]
2019-11-01 23:41:36,@inneeko Ohhhh lmao,[]
2019-11-01 22:46:52,@inneeko Or is this not the new stuff lmao,[]
2019-11-01 22:46:33,@inneeko HOW,[]
2019-11-01 19:07:17,@KTsbooknook426 Thank you!,[]
2019-11-01 18:52:19,@ashleyjoyreads I spent $155 on both sets and sold my extra for $175 we gettin that coinnn,[]
2019-11-01 18:47:34,@livreadsalatte I’m going back to try to get more,[]
2019-11-01 18:46:23,@haleymtz1 I already resold them 😅,[]
2019-11-01 18:41:58,@livreadsalatte I accidentally bought two of both and already made a profit off of them on mercari 🤪,[]
